Rank,Country,PowerIndex
1,United States,0.0818
2,Russia,0.0841
3,China,0.0852
4,India,0.1417
5,France,0.1869
6,United Kingdom,0.1917
7,South Korea,0.2001
8,Japan,0.2107
9,Turkey,0.2216
10,Germany,0.2461
11,Italy,0.2565
12,Egypt,0.2751
13,Iran,0.3131
14,Brazil,0.3198
15,Indonesia,0.3266
16,Israel,0.3444
17,Pakistan,0.3689
18,North Korea,0.3881
19,Spain,0.4079
20,Vietnam,0.4098
21,Australia,0.4203
22,Poland,0.4276
23,Algeria,0.4366
24,Taiwan,0.4384
25,Canada,0.4442
